UC;UC05;;
Ano;2009-2010;;
Epoca;RE;;
Data;17/7/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1020055;11;11;11
1020028;14;FT ;NC 
1020023;10;7;8
1050028;8;FT ;NC 
1060056;9;10;10
1060103;8;FT ;NC 
1060135;11;11;11
1060080;12;10;11
1060022;11;5;7
1060029;11;9;10
1070135;10;FT ;NC 
1070075;10;11;11
1070051;1;0;0
1070094;8;11;10
1080159;8;8;8
1080033;8;6;7
1080040;10;1;5
1080069;9;10;10
1080082;8;11;10
1080138;11;6;8
1080175;11;11;11
1080048;9;10;10
1080184;14;4;6
1080139;10;1;5
1090051;10;10;10
1090056;9;14;12
1090115;8;11;10
1090126;10;5;7
1090132;8;11;10
1090150;8;FT ;NC 
1090172;11;14;13
1090202;11;2;6
1090221;9;10;10
1090268;8;11;10
1090031;8;13;11
1090090;11;9;10
1090122;11;12;12
1090153;8;FT ;NC 
1090161;8;8;8
1090191;9;10;10
1090242;8;FT ;NC 
1090248;11;6;8
1090250;14;14;14
1090227;8;FT ;NC 
1090240;14;14;14
1090023;18;18;18
1090092;11;12;12
1010085;8;4;6
