UC;UC14;;
Ano;2009-2010;;
Epoca;EF;;
Data;3/10/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1010006;NC ;FT ;NC 
1010013;NC ;17;17
1010050;NC ;13;13
1010055;NC ;FT ;NC 
1010074;NC ;16;16
1010097;NC ;16;16
1020001;NC ;14;14
1020040;NC ;FT ;NC 
1020043;NC ;16;16
1020049;NC ;18;18
1020050;NC ;FT ;NC 
1030007;NC ;17;17
1030017;NC ;16;16
1030030;NC ;17;17
1030041;NC ;16;16
1030042;NC ;18;18
1030048;NC ;FT ;NC 
1040005;NC ;19;19
1040009;NC ;16;16
1040011;NC ;15;15
1040013;NC ;16;16
1040021;NC ;12;12
1040041;NC ;16;16
1040042;NC ;19;19
1050003;NC ;16;16
1050009;NC ;15;15
1050013;NC ;18;18
1050016;NC ;13;13
1050025;NC ;14;14
1050031;NC ;14;14
1050064;NC ;18;18
1050074;NC ;16;16
1050080;NC ;17;17
1050084;NC ;17;17
1050087;NC ;16;16
1060025;NC ;16;16
1060039;NC ;16;16
1060045;NC ;15;15
1060047;NC ;17;17
1060050;NC ;FT ;NC 
1060054;NC ;16;16
1060059;NC ;14;14
1060062;NC ;18;18
1060069;NC ;17;17
1060096;NC ;15;15
1060105;NC ;15;15
1060110;NC ;18;18
1060113;NC ;19;19
1060123;NC ;13;13
1060138;NC ;13;13
1060140;NC ;17;17
1060144;NC ;16;16
1070007;NC ;17;17
1070017;NC ;17;17
1070024;NC ;16;16
1070038;NC ;16;16
1070049;NC ;15;15
1070054;NC ;17;17
1070116;NC ;17;17
1070118;NC ;13;13
1070127;NC ;16;16
1070129;NC ;18;18
1070130;NC ;16;16
1070132;NC ;18;18
1070158;NC ;18;18
1080177;NC ;13;13
1080181;NC ;16;16
1080204;NC ;15;15
